Título,Autores,Fecha,URL,Fuente
,"Tommaso Turchi;
Alessio Malizia",2016,,IEEE Xplore
,"Chih-Chien Hu;
Ming-Hsien Chen;
Imam Yuadi;
Nian-Shing Chen",2022,,IEEE Xplore
,"Nasrin Dehbozorgi;
Maysam Nezafati;
Mehdi Roopaei",2024,,IEEE Xplore
,"Tianyu Xue;
Shiyan He;
Weitong Guo",2024,,IEEE Xplore
,"Ronald Paucar Curasma;
Nolan Jara Jara;
Herminio Paucar Curasma;
Victor Cruz Ornetta",2019,,IEEE Xplore
,Xiongjun Zhou,2011,,IEEE Xplore
,"Anaclara Gerosa;
Víctor Koleszar;
Leonel Gómez-Sena;
Gonzalo Tejera;
Alejandra Carboni",2019,,IEEE Xplore
,"R Vinayakumar;
KP Soman;
Pradeep Menon",2018,,IEEE Xplore
,"Andrew Jung;
Jinsook Park;
Andrew Ahn;
Mira Yun",2017,,IEEE Xplore
,"Nicolas A. Nunez;
Giuliana Cornejo-Meza;
Sandro A. Sánchez",2020,,IEEE Xplore
,"Yintong Wang;
Shuo Li",2021,,IEEE Xplore
,"Armando Muñoz del Castillo;
Mario A. Muñoz;
Lydia Cruz Acosta Huertas;
Edgar Herrera;
Javier Jimenez Toledo;
Deixy Ximena Ramos",2019,,IEEE Xplore
,"Mintu Philip;
V. G. Renumol;
R Gopeekrishnan",2013,,IEEE Xplore
,"Aaron Bauer;
Eric Butler;
Zoran Popović",2015,,IEEE Xplore
,"Alexander Repenning;
David C. Webb;
Catharine Brand;
Fred Gluck;
Ryan Grover;
Susan Miller;
Hilarie Nickerson;
Muyang Song",2014,,IEEE Xplore
,Sheng-Yi Wu,2018,,IEEE Xplore
,"Tainã Carvalho;
Daiane Andrade;
Jayne Silveira;
Victor Auler;
Simone Cavalheiro;
Marilton Aguiar;
Luciana Foss;
Ana Pernas;
Renata Reiser",2013,,IEEE Xplore
,"Jiaying Zhang;
Yi Zhang;
Yuru Lin",2023,,IEEE Xplore
,"Xuemei Wang;
Xuelan Zou;
Weifeng Yin;
Qingsheng Li;
Li Zhang;
Liang Hong",2021,,IEEE Xplore
,"Huma Shoaib;
Monica Cardella;
Aasakiran Madamanchi;
David Umulis",2019,,IEEE Xplore
,"Cong Xiaohong;
Liu Jie;
Miao Zhibin;
Xu Li",2021,,IEEE Xplore
,"Charles A. N. Johnson;
Moh'd Fadzil Bin Daud;
Mahyuddin Bin Arsat;
Wan Nazdah Bt. Wan Hussin;
Ernest Ituma Egba",2017,,IEEE Xplore
,"Min Xiao;
Xiaohua Yu",2017,,IEEE Xplore
,"Zhenrong Deng;
Wenming Huang;
Rongsheng Dong",2009,,IEEE Xplore
,Chih-Kai Chang,2016,,IEEE Xplore
,"Chih-Kai Chang;
Yu-Tzu Tsai",2018,,IEEE Xplore
,"Balaji Kalluri;
Prajish Prasad;
Prakrati Sharma;
Divyaansh Chippa",2024,,IEEE Xplore
,"Shriya Se;
Ashwini B;
Archana Chandran;
Soman K.P",2015,,IEEE Xplore
,"Matheus Soppa Geremias;
Taynara Cerigueli Dutra;
Isabela Gasparini;
Eleandro Maschio",2023,,IEEE Xplore
,"Cristiana Araújo;
Lázaro V O Lima;
Pedro Rangel Henriques",2019,,IEEE Xplore
,"Chunying Zhang;
Xiao Chen;
JianJing Li",2011,,IEEE Xplore
,"Farha Sattar;
Muhammad Nawaz",2023,,IEEE Xplore
,"Andrew Keong Ng;
R Mahkeswaran",2021,,IEEE Xplore
,"Yunbo Jin;
Junmei Sun;
Hongliang Ma;
Xiaohong Wang",2021,,IEEE Xplore
,"Wei Zhang;
Lingling Song;
Xinyao Zeng;
Panpan Li",2023,,IEEE Xplore
,"Carina S. González-González;
Pino Caballero-Gil;
Alicia García-Holgado;
Francisco J. García-Peñalvo;
Jezabel Molina;
José M. del Castillo-Olivares;
Bernardo Candela San Juan;
Sara García Cuesta;
Inmaculada Perdomo;
Cándido Caballero-Gil;
Francisco Gutíerrez-Vela;
Patricia Paderewski;
Verónica Violant Holz;
Rosa Gil Iranzo;
Sofía Ramos",2021,,IEEE Xplore
,"Yichi Wang;
Yi Zhang;
Aiping Mao;
Jue Wang;
Niu Li",2020,,IEEE Xplore
,"Mega Ekka Hadi;
Khamida Siti Nur Atiqoh;
Kadir",2021,,IEEE Xplore
,Peter B. Henderson,2009,,IEEE Xplore
,"Pinghong Zhou;
Yumin Tang;
Yi Zhang;
Yue Yu;
Yixin Li",2024,,IEEE Xplore
,Lina Wang,2011,,IEEE Xplore
,"Rami J. Haddad;
Youakim Kalaani",2015,,IEEE Xplore
,"Gary K.W. Wong;
Shan Jiang",2018,,IEEE Xplore
,"Leticia Laura-Ochoa;
Norka Bedregal-Alpaca",2021,,IEEE Xplore
,"Fengzhi Zhao;
Sijie Liu",2022,,IEEE Xplore
,Haiyan Ding,2019,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Alessio De Santo;
Juan Carlos Farah;
Marc Lafuente Martínez;
Arielle Moro;
Kristoffer Bergram;
Aditya Kumar Purohit;
Pascal Felber;
Denis Gillet;
Adrian Holzer",2022,,IEEE Xplore
,"Zhenyu He;
Haihu Zhao",2019,,IEEE Xplore
,"Di Gong;
Harrison Hao Yang;
Jin Cai",2021,,IEEE Xplore
,"Pei-Hsuan Lin;
Shih-Yeh Chen",2020,,IEEE Xplore
,"Yuxi Chen;
Yang Zhao;
Min Wang",2024,,IEEE Xplore
,"Antonio Gonzalez-Torres;
Lilliana Sancho-Chavarria;
Magaly Zuniga-Cespedes;
Jorge Monge-Fallas;
Jose Navas-Su",2021,,IEEE Xplore
,"Antonio Gonzalez-Torres;
Elliot Ramirez-Trejos;
Lilliana Sancho-Chavarria;
Jose Navas-Su;
Cesar Garita;
Jorge Monge-Fallas",2023,,IEEE Xplore
,"Toluchuri Shalini Shankar Rao;
Ajay Shankar Tiwari;
Utanko Mitra;
Kaushal Kumar Bhagat",2024,,IEEE Xplore
,Joey R. Fanfarelli,2021,,IEEE Xplore
,"Fan Wang;
Lan Chen;
Wei Wang",2023,,IEEE Xplore
,"Hui-Chi Chuang;
Chiu-Fan Hu;
Cheng-Chih Wu;
Yu-Tzu Lin",2015,,IEEE Xplore
,"Serafeim A. Triantafyllou;
Theodosios Sapounidis;
Andreas Oikonomou",2024,,IEEE Xplore
,"Pichet Srisangngam;
Chaiyos Dechsura",2020,,IEEE Xplore
,"Benjamin Worrell;
Catharine Brand;
Alexander Repenning",2015,,IEEE Xplore
,"Danqing Zhao;
Yatao Li",2022,,IEEE Xplore
,"Nurul Faizah Rozali;
Norasykin Mohd Zaid;
Norah Md Noor;
Nor Hasniza Ibrahim",2018,,IEEE Xplore
,"Chih-Chien Hu;
Hsiao-Ting Tseng;
Ming-Hsien Chen;
Alexis Goh Phaik Imm;
Nian-Shing Chen",2020,,IEEE Xplore
,"Wei-Yeh Huang;
Chiu-Fan Hu;
Cheng-Chih Wu",2018,,IEEE Xplore
,"Chu-Yang Chang;
Zhengyi Du;
Hsu-Chan Kuo;
Chih-Ching Chang",2023,,IEEE Xplore
,"Ling Xu;
Ming-Wen Tong;
Bin Li;
Jiang Meng;
Chen-Yao Fan",2019,,IEEE Xplore
,"Ence Surahman;
Tzu Hua Wang;
Kee-Fui Turner Lam;
Sulthoni;
Ujang Nendra Pratama;
Eny Nur Aisyah",2022,,IEEE Xplore
,Kannika Daungcharone,2017,,IEEE Xplore
,"Duane F. Shell;
Melissa Patterson Hazley;
Leen-Kiat Soh;
L. Dee Miller;
Vlad Chiriacescu;
Elizabeth Ingraham",2014,,IEEE Xplore
,Jiefei Chen,2023,,IEEE Xplore
,"Chien-Hung Lai;
Cheng-Han Hsieh",2023,,IEEE Xplore
,"Nardie Fanchamps;
Lou Slangen;
Marcus Specht;
Paul Hennissen",2022,,IEEE Xplore
,"C. Sophie Lee;
Chi-Chun Chou",2018,,IEEE Xplore
,"Karen Selbach Borges;
Crediné Silva de Menezes;
Léa da Cruz Fagundes",2017,,IEEE Xplore
,"Wenming Huang;
Zhenrong Deng;
Dong Rongsheng",2009,,IEEE Xplore
,"Juan Felipe Calderón;
Javier Ebers",2017,,IEEE Xplore
,"Junjie Liu;
Yi Bai;
Xiaojun Xia",2023,,IEEE Xplore
,"R Vinayakumar;
KP Soman;
Pradeep Menon",2018,,IEEE Xplore
,"Guruswamy Revana;
K. Kavita;
V. Madhavi",2021,,IEEE Xplore
,"Zhang Yinnan;
Luo Chaosheng",2012,,IEEE Xplore
,"Chien-Sing Lee;
K. Daniel Wong",2017,,IEEE Xplore
,"Noa Ragonis;
Orit Hazzan",2022,,IEEE Xplore
,"Feng Wang;
Hong Wang",2019,,IEEE Xplore
,"Alexis Daniel Fuentes Pérez;
Gara Miranda Valladares",2018,,IEEE Xplore
,"Christos Chytas;
Alexandros Tsilingiris;
Ira Diethelm",2019,,IEEE Xplore
,"Zetra Hainul Putra;
Gustimal Witri;
Dahnilsyah;
Yahya Gunawan;
Herry Sumadinata;
Arisya Ruspina Putri",2024,,IEEE Xplore
,"Noridayu Adnan;
Siti Norul Huda Sheikh Abdullah;
Raja Jamilah Raja Yusof;
Noor Faridatul Ainun Zainal;
Faizan Qamar;
Elaheh Yadegaridehkordi",2023,,IEEE Xplore
,"Alessio Malizia;
Tommaso Turchi;
Kai A. Olsen",2017,,IEEE Xplore
,"Zhifang Zhu;
Yi Zhang;
Wanze Zhu;
Jingsi Ma",2023,,IEEE Xplore
,"Li Chen;
Jiaoxiong Xia;
Jie Tao",2018,,IEEE Xplore
,"Deepak Singh Rana;
Sushil Chandra Dimri;
Preeti Malik;
Shiv Ashish Dhondiyal",2022,,IEEE Xplore
,"Peng Chen;
Ronghuai Huang",2017,,IEEE Xplore
,"Yen-Air Caballero-González;
Lilia Muñoz;
Ana García-Valcárcel Muñoz-Repiso",2019,,IEEE Xplore
,"Chen Weiwei;
Li Zhigang;
Bao Aihua;
Tang Yanqin",2015,,IEEE Xplore
,"Xiaokang Ren;
Tiantian Cai;
Hong Wang;
Deyi Yang",2021,,IEEE Xplore
,"Shiguang Zhang;
Xiaonan Fang;
Feng Yuan;
Ting Zhou",2023,,IEEE Xplore
,"Donna DeMarco;
Lisa Frye;
Dylan Schwesinger",2024,,IEEE Xplore
,"Cui Guangzuo;
Wei Xuefeng;
Lili Wang Boling",2011,,IEEE Xplore
,"Ratchanon Nobnop;
Nacha Chondamrongkul;
Punnarumol Temdee",2024,,IEEE Xplore
,"Jun-Ming Su;
Chu-Ti Liao;
Chih-Ting Chen;
Li-Hung Wang",2019,,IEEE Xplore
,R. Oxman,1998,,IEEE Xplore
,"Sharifah Maryam Syed Azman;
Mahyuddin Arsat;
Hasnah Mohamed",2017,,IEEE Xplore
,"Laura Orozco-Garcia;
Carolina Gonzalez;
Juan Montano;
Cristian Mondragon;
Hendrys Tobar-Munoz",2019,,IEEE Xplore
,"Youjun Tang;
Xiaomei Ma",2023,,IEEE Xplore
,"Haodong Ren;
Li Yang;
Liheng Jiang;
Yu Bai;
Wei Lu;
Jie Chang",2021,,IEEE Xplore
,Peter Wentworth,2010,,IEEE Xplore
,Madalene Spezialetti,2010,,IEEE Xplore
,"Xueyan Dong;
Jingpeng Jia",2020,,IEEE Xplore
,"Xing Li;
Hui Xiang;
MingYue Zhao;
XiaoChun Zhou;
Jing Huang",2024,,IEEE Xplore
,"Marcella Mandanici;
Simone Spagnol",2024,,IEEE Xplore
,"Zhong Chang;
Yan Sun;
Tin-Yu Wu;
Mohsen Guizani",2018,,IEEE Xplore
,"Sasithorn Chookaew;
Suppachai Howimanporn;
Pornjit Pratumsuwan;
Santi Hutamarn;
Warin Sootkaneung;
Charoenchai Wongwatkit",2018,,IEEE Xplore
,"R Vinayakumar;
KP Soman;
Pradeep Menon",2018,,IEEE Xplore
,"Sara Rijo-García;
Eduardo Segredo;
Coromoto León",2022,,IEEE Xplore
,Peijin Wang,2006,,IEEE Xplore
,"Kelli Adam;
Robert Lightfoot;
Mahjabin Chowdhury;
Jonan Phillip Donaldson",2023,,IEEE Xplore
,"Faraz Parsa;
Amir Ali Amiri Moghadam;
Turaj Ashuri",2024,,IEEE Xplore
,"Hoda Ehsan;
Carson Ohland;
Tikyna Dandridge;
Monica Cardella",2018,,IEEE Xplore
,"Alejandro Espinal;
Camilo Vieira;
Alejandra J. Magana",2021,,IEEE Xplore
,Ying Li,2016,,IEEE Xplore
,"Shuiyan He;
Yongmin Hang;
Yi Ding",2014,,IEEE Xplore
,"Jesús Moreno-León;
Gregorio Robles;
Marcos Román-González",2016,,IEEE Xplore
,"Xitian Yi;
Fanhua Liu;
Zehui Zhan",2022,,IEEE Xplore
,"P. Larsson;
M-V. Apiola;
M-J. Laakso",2019,,IEEE Xplore
,"Chia-Ching Lin;
Po-Yao Chao;
En-Ting Lin;
Huei-Lin Tzeng",2018,,IEEE Xplore
,"Xuemei Wang;
Jun Zheng;
Jiongshan Zhao;
Shengyou Lin",2023,,IEEE Xplore
,"Peipei Gao;
Mingxiao Lu;
Hong Zhao;
Min Li",2019,,IEEE Xplore
,"Jozef Hanč;
Martina Hančová;
Veronika Jurková;
Dušan Šveda",2020,,IEEE Xplore
,"Hi-Lian Jeng;
Li-Wen Liu;
Chung-Nien Chen",2019,,IEEE Xplore
,"Ting-Chia Hsu;
Lung-Hsiang Wong;
Guat Poh Aw",2020,,IEEE Xplore
,"Rodrigo Hagstrom;
Calebe Rezende;
Leonidas de Oliveira Brandão;
Anarosa Alves Franco Brandão;
Priscila da Silva Neves Lima",2024,,IEEE Xplore
,"Hayden W. Fennell;
Joseph A. Lyon;
Alejandra J. Magana;
Sanjay Rebello;
Carina M. Rebello;
Yuri B. Peidrahita",2019,,IEEE Xplore
,"Laíza Ribeiro Silva;
Alan Pedro da Silva;
Armando Toda;
Seiji Isotani",2018,,IEEE Xplore
,"Titiphan Phetsrikran;
Wansuree Massagram;
Thanathorn Phoka;
Antony Harfield",2018,,IEEE Xplore
,"Rif’Ati Dina Handayani;
Srihandono Budi Prastowo;
Jamalludin;
Triyanto;
Mohammad Anas Thohir",2023,,IEEE Xplore
,"Suphachoke Sonsilphong;
Amornthep Sonsilphong;
Daranee Hormdee;
Phongthanat Sae-Joo",2022,,IEEE Xplore
,"Adriana Maria Laime-Choque;
Jorge Gilbert Mamani-Calcina;
Hector Cardona-Reyes;
Maria Del Pilar Ponce-Aranibar;
Cesar Gonzalo Vera-Vasquez;
Silvia Espinoza-Suarez",2022,,IEEE Xplore
,"ZhiWei Qu;
JiaMing Liu;
Lu Che;
YanXiu Su;
Wei Zhang",2023,,IEEE Xplore
,"Parameswari Anitha;
Sooraj K. Babu;
Unnikrishnan R.;
Rao R. Bhavani",2018,,IEEE Xplore
,"Yen Air Caballero González;
Ana García-Valcárcel Muñoz-Repiso",2017,,IEEE Xplore
,"Pingzhang Gou;
Wenxuan Zhang;
Yuyue Han",2021,,IEEE Xplore
,"Steven Pacheco-Portuguez;
Antonio Gonzalez-Torres;
Lilliana Sancho-Chavarria;
Ignacio Trejos-Zelaya;
Jorge Monge-Fallas;
Jose Navas-Su;
Alberto J. Cañas;
Andrés Rodríguez;
Carol Angulo Chinchilla",2022,,IEEE Xplore
,"Tin-Kai Chen;
Andry Chowanda;
Yogi Udjaja;
Hsiao-Lin Fang",2019,,IEEE Xplore
,"Lorena Alvarado;
Carla Falcon;
Juan Gutiééérrez-Cááárdenas;
Vilma S. Romero-Romero",2022,,IEEE Xplore
,"Ying Wei;
ChengLie Du",2014,,IEEE Xplore
,"Li-jie Yin;
Rui-xin Zuo;
Yang Zhao",2011,,IEEE Xplore
,"Aravind Mohan;
Shiyong Lu;
Ke Zhang",2015,,IEEE Xplore
,"Alejandra J. Magana;
Prabhakar Marepalli;
Jason V. Clark",2011,,IEEE Xplore
,"Yilong Xu;
Fujing Zhao",2022,,IEEE Xplore
,"Vidushi Chaudhary;
Vishnu Agrawal;
Pragya Sureka;
Ashish Sureka",2016,,IEEE Xplore
,"Emily Relkin;
Marina Bers",2021,,IEEE Xplore
,"Menna Elshahawy;
Mariam Bakhaty;
Nada Sharaf",2020,,IEEE Xplore
,"Dazhi Yang;
Youngkyun Baek;
Steve Swanson",2020,,IEEE Xplore
,"Taynara Cerigueli Dutra;
Daniel Felipe;
Isabela Gasparini;
Eleandro Maschio",2021,,IEEE Xplore
,"Guang Yang;
Daisuke Saito;
Hironori Washizaki;
Yoshiaki Fukazawa",2023,,IEEE Xplore
,"Hiroki Tanioka;
Rina Yano",2021,,IEEE Xplore
,"Can Xu;
Zhiyong Feng;
Peng Qi;
Yan Sun",2020,,IEEE Xplore
,"Zhaoyang Sun;
Jihong Liu",2008,,IEEE Xplore
,"Khadijah Wan Mohd Ghazali;
Mashanum Osman;
Zuraini Othman;
Masitah Seikh Omar",2024,,IEEE Xplore
,"Sarantos Psycharis;
Konstantinos Kalovrektis;
Apostolos Xenakis;
Ioannis Paliokas;
Matthaios Patrinopoulos;
Petros Georgiakakis;
Paraskevi Iatrou;
Paraskevi Theodorou;
Theodora Papageorgiou;
Vasiliki Ntourou",2021,,IEEE Xplore
,Pei-jin Wang,2006,,IEEE Xplore
,"Shu Zhao;
Guoqing Zhao;
Qiong Wang",2010,,IEEE Xplore
,"Jun-Ming Su;
Yu-En Lin;
Wei-Fang Hsu;
Ting-Ti Wu",2024,,IEEE Xplore
,"Jian Liao;
Linrong Zhong;
Longting Zhe;
Handan Xu;
Ming Liu;
Tao Xie",2024,,IEEE Xplore
,"Leovy Echeverría;
Ruth Cobos;
Mario Morales;
Fernando Moreno;
Victor Negrete",2019,,IEEE Xplore
,"Du Hemin;
Jiang Junjie",2021,,IEEE Xplore
,"Mária Csernoch;
Piroska Biró;
János Máth",2021,,IEEE Xplore
,"Felipe González;
Claudia López;
Carlos Castro",2018,,IEEE Xplore
,"Erwin Halim;
Kevin;
Hans Kristian;
Marylise Hebrard",2022,,IEEE Xplore
,"Kyu Han Koh;
Ashok Basawapatna;
Vicki Bennett;
Alexander Repenning",2010,,IEEE Xplore
,"Lusia Rakhmawati;
Achmad Imam Agung;
Miftahur Rohman",2022,,IEEE Xplore
,"Ramiro Delgado;
Silvana Yacchirema;
Francisco Coral;
Juan Celi",2019,,IEEE Xplore
,"R Vinayakumar;
KP Soman;
Pradeep Menon",2018,,IEEE Xplore
,"Belgacem Ben Youssef;
Barbara Berry;
Michael Sjoerdsma",2012,,IEEE Xplore
,"Andrew Keong Ng;
Indriyati Atmosukarto;
Julia Kwok Lee Teo;
Ashraaf Bin Amran",2023,,IEEE Xplore
,"Javier Alejandro Jiménez Toledo;
César A. Collazos;
Manuel Ortega;
Deixy Ximena Ramos",2023,,IEEE Xplore
,"Erika Cervantes Juárez;
Daniel Sánchez Guzmán",2022,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"William Underwood;
David Weintrop;
Michael Kurtz;
Richard Marciano",2018,,IEEE Xplore
,"Shuhan Zhang;
Gary K. W. Wong",2022,,IEEE Xplore
,"Wang Chun-Hong;
Wang Qiao-Ling",2011,,IEEE Xplore
,"Fernando Alegre;
Juana Moreno;
Trent Dawson;
Egbeyong E. Tanjong;
David H. Kirshner",2020,,IEEE Xplore
,"Alex Barrett;
Nuodi Zhang;
Fengfeng Ke;
Jewoong Moon;
Zlatko Sokolikj",2022,,IEEE Xplore
,"Athit Aroonsiwagool;
Somkiat Tuntiwongwanich",2021,,IEEE Xplore
,"Anna Gardeli;
Spyros Vosinakis",2019,,IEEE Xplore
,"Katherine G. Herbert-Berger;
Sumi Hagiwara;
Elizabeth M. Rogacki;
Thomas J. Marlowe",2022,,IEEE Xplore
,"Athaillah Adhar Jumana;
Josua Golden Umboh;
K I Ketut Dharma Wijaya;
Alexander Agung Santoso Gunawan;
Karen Etania Saputra",2023,,IEEE Xplore
,Ying Li,2014,,IEEE Xplore
,"Satoru Ozawa;
Atsushi Minato;
Masanori Itaba;
Shigeyuki Murayama;
Sarkar Barbaq Quarmal",2014,,IEEE Xplore
,"Lin Zou;
Hongji Yang",2015,,IEEE Xplore
,"Kuo-Chuan Yeh;
Ying Xie;
Fengfeng Ke",2011,,IEEE Xplore
,"Qinhan Li;
Bin Li",2023,,IEEE Xplore
,Phillip Snalune,2015,,IEEE Xplore
,"Xinze Wang;
Daisuke Saito;
Hironori Washizaki;
Yoshiaki Fukazawa",2023,,IEEE Xplore
,"Farha Sattar;
Muhammad Nawaz",2024,,IEEE Xplore
,"Marah Altaher;
Ahmed Ferchichi",2018,,IEEE Xplore
,"Diego S. Silva;
Sérgio L. Melo;
Juliana R. Basto Diniz",2021,,IEEE Xplore
,"Marcos Librelon Raia;
André Giacon Martins;
Gustavo Paulino Al Kas;
Maria Amelia Eliseo",2023,,IEEE Xplore
,"William Underwood;
Joan Gage",2023,,IEEE Xplore
,"Masanori Fukui;
Yudai Sano;
Li Xiang;
Eng Tek Ong;
Wanda Nugroho Yanuarto;
Subuh Anggoro;
Khar Thoe Ng",2024,,IEEE Xplore
,"Nikolaos Pellas;
Spyridon Vosinakis",2017,,IEEE Xplore
,"Chloé Mercier;
Lisa Roux;
Margarida Romero;
Frédéric Alexandre;
Thierry Viéville",2021,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Rodolfo Araújo;
Eudisley Anjos;
Danielle Rousy Silva",2015,,IEEE Xplore
,"SooHwan Kim;
SeonKwan Han;
HyeonCheol Kim",2009,,IEEE Xplore
,"Tomislav Jagušt;
Ana Sovic Krzic;
Gordan Gledec;
Mislav Grgić;
Iva Bojic",2018,,IEEE Xplore
,"Jihong Liu;
Minqing Zhang;
Xujie Hu",2011,,IEEE Xplore
,"Xuejuan Huang;
Lina Wang;
Jun Ruan;
Songling Wu;
Dehua Li",2018,,IEEE Xplore
,"Ravikiran Aithal;
Shiva Kumar;
Vijayalakshmi M N",2024,,IEEE Xplore
,"Ângelo Magno de Jesus;
Ismar Frango Silveira",2020,,IEEE Xplore
,"Hugo Chateau-Laurent;
Frédéric Alexandre",2021,,IEEE Xplore
,"Noemi V. Mendoza Diaz;
Russ Meier;
Deborah A. Trytten;
So Yoon Yoon",2020,,IEEE Xplore
,"Daniel Russo;
Marcello Missiroli;
Paolo Ciancarini",2018,,IEEE Xplore
,"Felipe González-Pizarro;
Claudia López;
Andrea Vásquez;
Carlos Castro",2024,,IEEE Xplore
,"Fan Xu;
Shuhan Zhang",2021,,IEEE Xplore
,"Chengzhang Zhu;
Jeong Eun Ahn;
Luobin Cui;
Ryan Hare;
Ying Tang",2023,,IEEE Xplore
,"Yirong Du;
Shuyu Yue;
Xiao Zhang",2020,,IEEE Xplore
,"Adson Marques da Silva Esteves;
André Luiz Maciel Santana;
Rodrigo Lyra",2019,,IEEE Xplore
,"Yichuan Wang;
Jihong Xu;
Jiaqi Pan",2023,,IEEE Xplore
,"Tatiana Havlásková;
Zuzana Homanová;
Daniel Tran",2019,,IEEE Xplore
,"Myles Lewis;
Amanda Holloman;
Bryan Y. Hernández Cuevas;
Chris Crawford",2024,,IEEE Xplore
,Jingye Qu,2014,,IEEE Xplore
,"Jitesh Maiyuran;
Ayesha Bajwa;
Ana Bell;
Erik Hemberg;
Una-May O’Reilly",2019,,IEEE Xplore
,"Wenge Song;
Ganquan Zhang",2023,,IEEE Xplore
,"Safara Cathasa Riverinda Rijadi;
Priya Mita Hartati Qhusna;
Elvira Lailatuth Thohiroh;
Vira Damayanti;
Rafi Ahmad Kharian;
Tien Fabrianti Kusumasari",2024,,IEEE Xplore
,"Mahnas Jean Mohammadi-Aragh;
Yan Sun;
Jamie L. Dyer;
Jonathan G. Harris;
Chase A. Robinson;
Mengni Bai;
Jolie K. Kavanagh;
Kimberly E. Ball",2022,,IEEE Xplore
,"Ronald Paucar Curasma;
Klinge Orlando Villalba-Condori;
Nolan Jara Jara;
Rosa Quispe Llamoca;
Julio Cesar Cabrera Chávez;
María Del Pilar Ponce-Aranibar",2021,,IEEE Xplore
,"Alexandre Scaico;
Willams Pinto Ferreira;
Emmanuel Mendes Alves;
Pasqueline Dantas Scaico",2021,,IEEE Xplore
,"Xiao Jing Li;
Si Qi Liu;
Tong Pan;
Bin Ru Chen;
Lei Zhao;
Ming Ming Wang",2024,,IEEE Xplore
,"Lliteras Alejandra Beatriz;
Artopoulos Alejandro;
Fernández Alejandro;
Huarte Jimena",2022,,IEEE Xplore
,"Maria Luce Lupetti;
Maarten Van Mechelen",2022,,IEEE Xplore
,"Lala Septem Riza;
Irma Ayu Aryani;
Yaya Wihardi;
Eka Fitrajaya Rahman;
Herbert;
Haviluddin",2018,,IEEE Xplore
,"Yan Cui;
Xin-Rong Li;
Jun-Tao Wang",2010,,IEEE Xplore
,Yu-chu Yeh,2002,,IEEE Xplore
,"Camilo Vieira;
David Restrepo;
Jose L. De La Hoz",2023,,IEEE Xplore
,"Natasha Nesiba;
Enrico Pontelli;
Timothy Staley",2015,,IEEE Xplore
,"Bing-Hong Chen;
Tsui-Feng Huang;
Sheng-Chieh Chou",2021,,IEEE Xplore
,"Piyanuch Silapachote;
Ananta Srisuphab",2016,,IEEE Xplore
